faculty_a,faculty_b,coauthored_papers
Hai Lin,Panos Antsaklis,66
Michael Lemmon,Panos Antsaklis,30
James Schmiedeler,Patrick Wensing,16
Bill Goodwine,James Schmiedeler,10
Hai Lin,Patrick Wensing,9
Bill Goodwine,Panos Antsaklis,5
Hai Lin,Michael Lemmon,4
Bill Goodwine,Michael Lemmon,3
Edgar Bolivar-Nieto,James Schmiedeler,2
Hai Lin,Margaret Coad,2
Hai Lin,Yasemin Ozkan-Aydin,2
Margaret Coad,Yasemin Ozkan-Aydin,2
Hai Lin,James Schmiedeler,1
Michael Lemmon,Patrick Wensing,1
Nikolaus Correll,Yasemin Ozkan-Aydin,1
